Data,Adversario,Mando,Gols_Timao,Gols_Adversario,Campeonato
2025-01-15,Guarani,Casa,1,0,Campeonato Paulista
2025-01-19,Ituano,Fora,1,1,Campeonato Paulista
2025-01-22,São Bernardo,Casa,2,0,Campeonato Paulista
2025-01-26,São Paulo,Fora,1,2,Campeonato Paulista
2025-01-29,Novorizontino,Casa,3,1,Campeonato Paulista
2025-02-02,Botafogo-SP,Fora,0,0,Campeonato Paulista
2025-02-05,Inter de Limeira,Casa,2,0,Campeonato Paulista
2025-02-09,Red Bull Bragantino,Fora,1,1,Campeonato Paulista
2025-02-15,Portuguesa,Fora,2,2,Campeonato Paulista
2025-02-19,Água Santa,Casa,1,0,Campeonato Paulista
2025-02-23,Guarani,Casa,2,2,Campeonato Paulista
2025-02-26,Ponte Preta,Fora,1,0,Campeonato Paulista
2025-03-02,Mirassol,Casa,2,0,Campeonato Paulista
2025-03-09,Santos,Casa,2,1,Campeonato Paulista
2025-03-16,Palmeiras,Fora,1,0,Campeonato Paulista
2025-03-27,Palmeiras,Casa,0,0,Campeonato Paulista
2025-04-30,Novorizontino,Fora,1,0,Copa do Brasil
2025-05-21,Novorizontino,Casa,1,0,Copa do Brasil
2025-07-30,Palmeiras,Casa,1,0,Copa do Brasil
2025-08-06,Palmeiras,Fora,2,0,Copa do Brasil
2025-08-27,Athletico-PR,Fora,1,0,Copa do Brasil
2025-09-10,Athletico-PR,Casa,2,0,Copa do Brasil
2025-12-10,Cruzeiro,Fora,1,0,Copa do Brasil
2025-12-14,Cruzeiro,Casa,1,2,Copa do Brasil
2025-12-17,Vasco,Casa,0,0,Copa do Brasil
2025-12-21,Vasco,Fora,2,1,Copa do Brasil
2025-04-13,Grêmio,Casa,2,1,Campeonato Brasileiro
2025-04-16,Atlético-MG,Fora,1,1,Campeonato Brasileiro
2025-04-20,Flamengo,Casa,1,0,Campeonato Brasileiro
2025-04-27,Juventude,Fora,2,0,Campeonato Brasileiro
2025-05-04,Fortaleza,Casa,0,0,Campeonato Brasileiro
2025-05-11,Cruzeiro,Fora,1,2,Campeonato Brasileiro
2025-05-18,São Paulo,Casa,1,1,Campeonato Brasileiro
2025-05-25,Bahia,Fora,2,1,Campeonato Brasileiro
2025-06-01,Botafogo,Casa,3,1,Campeonato Brasileiro
2025-06-08,Vasco,Fora,0,0,Campeonato Brasileiro
2025-06-12,Fluminense,Casa,2,0,Campeonato Brasileiro
2025-06-15,Palmeiras,Fora,1,1,Campeonato Brasileiro
2025-06-22,Athletico-PR,Casa,1,0,Campeonato Brasileiro
2025-06-25,Cuiabá,Fora,2,0,Campeonato Brasileiro
2025-06-29,Vitória,Casa,2,1,Campeonato Brasileiro
2025-07-06,Internacional,Fora,1,2,Campeonato Brasileiro
2025-07-13,Red Bull Bragantino,Casa,1,0,Campeonato Brasileiro
2025-07-20,Criciúma,Fora,2,0,Campeonato Brasileiro
2025-07-27,Santos,Casa,3,0,Campeonato Brasileiro
2025-08-03,Grêmio,Fora,1,1,Campeonato Brasileiro
2025-08-10,Atlético-MG,Casa,2,0,Campeonato Brasileiro
2025-08-17,Flamengo,Fora,1,2,Campeonato Brasileiro
2025-08-24,Juventude,Casa,3,0,Campeonato Brasileiro
2025-08-31,Fortaleza,Fora,0,1,Campeonato Brasileiro
2025-09-14,Cruzeiro,Casa,2,1,Campeonato Brasileiro
2025-09-21,São Paulo,Fora,1,0,Campeonato Brasileiro
2025-09-28,Bahia,Casa,1,1,Campeonato Brasileiro
2025-10-05,Botafogo,Fora,2,2,Campeonato Brasileiro
2025-10-12,Vasco,Casa,2,0,Campeonato Brasileiro
2025-10-19,Fluminense,Fora,1,1,Campeonato Brasileiro
2025-10-26,Palmeiras,Casa,1,0,Campeonato Brasileiro
2025-11-02,Athletico-PR,Fora,2,1,Campeonato Brasileiro
2025-11-09,Cuiabá,Casa,3,1,Campeonato Brasileiro
2025-11-12,Vitória,Fora,1,0,Campeonato Brasileiro
2025-11-23,Internacional,Casa,2,0,Campeonato Brasileiro
2025-11-30,Red Bull Bragantino,Fora,1,1,Campeonato Brasileiro
2025-12-03,Criciúma,Casa,4,0,Campeonato Brasileiro
2025-12-07,Santos,Fora,2,0,Campeonato Brasileiro
